rec,groupid,straintype,candself,nearesttype,color
1,3,1,0,PAM18-2643(2),#FF0000
2,3,1,1,PAM18-2643(2),#FF0000
3,3,1,0,PAM18-2643(2),#FF0000
4,3,1,0,PAM18-2643(2),#FF0000
5,3,1,0,PAM18-2643(2),#FF0000
6,3,1,0,PAM18-2643(2),#FF0000
7,3,1,0,PAM18-2643(2),#FF0000
8,3,1,0,PAM18-2643(2),#FF0000
9,3,1,0,PAM18-2643(2),#FF0000
10,3,1,0,PAM18-2643(2),#FF0000
11,91,1,1,N296-2471(1),#FF00FF
12,3,1,0,PAM18-2643(2),#FF0000
13,91,1,0,N296-2471(1),#FF00FF
14,3,1,0,PAM18-2643(2),#FF0000
15,39,1,0,PALES-28981(3),#7F007F
16,91,1,0,N296-2471(1),#FF00FF
17,3,1,0,PAM18-2643(2),#FF0000
18,3,1,1,PAM18-2643(2),#FF0000
19,3,1,0,PAM18-2643(2),#FF0000
20,3,1,0,PAM18-2643(2),#FF0000
21,3,1,0,PAM18-2643(2),#FF0000
22,3,1,0,PAM18-2643(2),#FF0000
23,39,1,0,PALES-28981(3),#7F007F
24,3,1,0,PAM18-2643(2),#FF0000
25,3,1,0,PAM18-2643(2),#FF0000
26,91,1,0,N296-2471(1),#FF00FF
27,3,1,1,PAM18-2643(2),#FF0000
28,3,1,0,PAM18-2643(2),#FF0000
29,3,1,0,PAM18-2643(2),#FF0000
30,3,1,0,PAM18-2643(2),#FF0000
31,3,1,1,PAM18-2643(2),#FF0000
32,39,1,0,PALES-28981(3),#7F007F
33,3,1,0,PAM18-2643(2),#FF0000
34,91,1,0,N296-2471(1),#FF00FF
35,3,1,1,PAM18-2643(2),#FF0000
36,3,1,0,PAM18-2643(2),#FF0000
37,3,1,0,PAM18-2643(2),#FF0000
38,3,1,0,PAM18-2643(2),#FF0000
39,91,1,0,N296-2471(1),#FF00FF
40,3,1,0,PAM18-2643(2),#FF0000
41,39,1,0,PALES-28981(3),#7F007F
42,91,1,0,N296-2471(1),#FF00FF
43,39,1,0,PALES-28981(3),#7F007F
44,39,1,0,PALES-28981(3),#7F007F
45,3,1,0,PAM18-2643(2),#FF0000
46,39,1,0,PALES-28981(3),#7F007F
47,39,1,1,PALES-28981(3),#7F007F
48,3,1,0,PAM18-2643(2),#FF0000
49,3,1,0,PAM18-2643(2),#FF0000
50,3,1,1,PAM18-2643(2),#FF0000
51,3,1,0,PAM18-2643(2),#FF0000
52,91,1,0,N296-2471(1),#FF00FF
53,3,1,0,PAM18-2643(2),#FF0000
54,39,1,0,PALES-28981(3),#7F007F
55,39,1,0,PALES-28981(3),#7F007F
56,3,1,0,PAM18-2643(2),#FF0000
57,3,1,0,PAM18-2643(2),#FF0000
58,3,1,0,PAM18-2643(2),#FF0000
59,3,1,0,PAM18-2643(2),#FF0000
60,3,1,0,PAM18-2643(2),#FF0000
61,3,1,0,PAM18-2643(2),#FF0000
62,91,1,0,N296-2471(1),#FF00FF
63,3,1,0,PAM18-2643(2),#FF0000
64,3,1,0,PAM18-2643(2),#FF0000
65,3,1,0,PAM18-2643(2),#FF0000
66,3,1,0,PAM18-2643(2),#FF0000
67,3,1,0,PAM18-2643(2),#FF0000
68,3,1,0,PAM18-2643(2),#FF0000
69,91,1,0,N296-2471(1),#FF00FF
70,3,1,0,PAM18-2643(2),#FF0000
71,3,1,1,PAM18-2643(2),#FF0000
72,3,1,1,PAM18-2643(2),#FF0000
73,3,1,0,PAM18-2643(2),#FF0000
74,3,1,1,PAM18-2643(2),#FF0000
75,3,1,1,PAM18-2643(2),#FF0000
76,3,1,0,PAM18-2643(2),#FF0000
77,3,1,0,PAM18-2643(2),#FF0000
78,91,1,0,N296-2471(1),#FF00FF
79,3,1,0,PAM18-2643(2),#FF0000
80,3,1,0,PAM18-2643(2),#FF0000
81,3,1,0,PAM18-2643(2),#FF0000
82,3,1,0,PAM18-2643(2),#FF0000
83,3,1,0,PAM18-2643(2),#FF0000
84,91,1,0,N296-2471(1),#FF00FF
85,91,1,0,N296-2471(1),#FF00FF
86,3,1,0,PAM18-2643(2),#FF0000
87,91,1,0,N296-2471(1),#FF00FF
88,39,1,0,PALES-28981(3),#7F007F
89,3,1,0,PAM18-2643(2),#FF0000
90,91,1,0,N296-2471(1),#FF00FF
91,91,1,0,N296-2471(1),#FF00FF
92,91,1,0,N296-2471(1),#FF00FF
93,91,1,0,N296-2471(1),#FF00FF
94,3,1,0,PAM18-2643(2),#FF0000
95,3,1,0,PAM18-2643(2),#FF0000
96,3,1,0,PAM18-2643(2),#FF0000
97,39,1,0,PALES-28981(3),#7F007F
98,3,1,0,PAM18-2643(2),#FF0000
99,3,1,1,PAM18-2643(2),#FF0000
100,3,1,1,PAM18-2643(2),#FF0000
101,3,1,0,PAM18-2643(2),#FF0000
102,91,1,0,N296-2471(1),#FF00FF
103,3,1,0,PAM18-2643(2),#FF0000
104,3,1,0,PAM18-2643(2),#FF0000
105,3,1,0,PAM18-2643(2),#FF0000
106,3,1,0,PAM18-2643(2),#FF0000
107,3,1,0,PAM18-2643(2),#FF0000
108,3,1,0,PAM18-2643(2),#FF0000
109,3,1,0,PAM18-2643(2),#FF0000
110,3,1,0,PAM18-2643(2),#FF0000
111,39,1,0,PALES-28981(3),#7F007F
112,3,1,1,PAM18-2643(2),#FF0000
113,3,1,0,PAM18-2643(2),#FF0000
114,91,1,1,N296-2471(1),#FF00FF
115,3,1,0,PAM18-2643(2),#FF0000
116,3,1,0,PAM18-2643(2),#FF0000
117,3,1,0,PAM18-2643(2),#FF0000
118,3,1,0,PAM18-2643(2),#FF0000
119,3,1,0,PAM18-2643(2),#FF0000
120,3,1,0,PAM18-2643(2),#FF0000
121,3,1,0,PAM18-2643(2),#FF0000
122,3,1,0,PAM18-2643(2),#FF0000
123,3,1,1,PAM18-2643(2),#FF0000
124,39,1,1,PALES-28981(3),#7F007F
125,3,1,0,PAM18-2643(2),#FF0000
126,39,1,1,PALES-28981(3),#7F007F
127,3,1,1,PAM18-2643(2),#FF0000
128,91,1,1,N296-2471(1),#FF00FF
129,3,1,0,PAM18-2643(2),#FF0000
130,3,1,0,PAM18-2643(2),#FF0000
131,3,1,1,PAM18-2643(2),#FF0000
132,3,1,1,PAM18-2643(2),#FF0000
133,3,1,1,PAM18-2643(2),#FF0000
134,91,1,1,N296-2471(1),#FF00FF
135,3,1,1,PAM18-2643(2),#FF0000
136,3,1,1,PAM18-2643(2),#FF0000
137,3,1,1,PAM18-2643(2),#FF0000
138,91,1,0,N296-2471(1),#FF00FF
139,3,1,1,PAM18-2643(2),#FF0000
140,3,1,1,PAM18-2643(2),#FF0000
141,3,1,1,PAM18-2643(2),#FF0000
142,91,1,0,N296-2471(1),#FF00FF
143,3,1,1,PAM18-2643(2),#FF0000
144,3,1,1,PAM18-2643(2),#FF0000
145,3,1,1,PAM18-2643(2),#FF0000
146,3,1,1,PAM18-2643(2),#FF0000
147,39,1,1,PALES-28981(3),#7F007F
148,3,1,1,PAM18-2643(2),#FF0000
149,3,1,1,PAM18-2643(2),#FF0000
150,3,1,1,PAM18-2643(2),#FF0000
151,3,1,1,PAM18-2643(2),#FF0000
152,3,1,1,PAM18-2643(2),#FF0000
153,3,1,1,PAM18-2643(2),#FF0000
154,91,1,1,N296-2471(1),#FF00FF
155,91,1,0,N296-2471(1),#FF00FF
156,91,1,1,N296-2471(1),#FF00FF
157,91,1,1,N296-2471(1),#FF00FF
158,3,1,1,PAM18-2643(2),#FF0000
159,3,1,1,PAM18-2643(2),#FF0000
160,3,1,1,PAM18-2643(2),#FF0000
161,91,1,1,N296-2471(1),#FF00FF
162,3,1,1,PAM18-2643(2),#FF0000
163,3,1,1,PAM18-2643(2),#FF0000
164,3,1,0,PAM18-2643(2),#FF0000
165,3,1,1,PAM18-2643(2),#FF0000
166,3,1,1,PAM18-2643(2),#FF0000
167,3,1,1,PAM18-2643(2),#FF0000
168,3,1,1,PAM18-2643(2),#FF0000
169,3,1,1,PAM18-2643(2),#FF0000
