Rec_groupid,strainnemes,sptypeid
3,Pseudomonas_aeruginosa_110238627_10857,1
3,Pseudomonas_aeruginosa_12-4-4_59_3618,1
3,Pseudomonas_aeruginosa_12939_6590,1
3,Pseudomonas_aeruginosa_1442_10356,1
3,Pseudomonas_aeruginosa_14672_3308,1
3,Pseudomonas_aeruginosa_1608_10342,1
3,Pseudomonas_aeruginosa_1631_10350,1
3,Pseudomonas_aeruginosa_1653_10338,1
3,Pseudomonas_aeruginosa_1671_10335,1
3,Pseudomonas_aeruginosa_1713_10333,1
91,Pseudomonas_aeruginosa_1811-13R031_12048,1
3,Pseudomonas_aeruginosa_18A_661,1
91,Pseudomonas_aeruginosa_19660_593,1
3,Pseudomonas_aeruginosa_1_10845,1
39,Pseudomonas_aeruginosa_205BR_9982,1
91,Pseudomonas_aeruginosa_2192_82,1
3,Pseudomonas_aeruginosa_243931_11950,1
3,Pseudomonas_aeruginosa_24Pae112_9634,1
3,Pseudomonas_aeruginosa_268_9897,1
3,Pseudomonas_aeruginosa_2S030611BSL_PA1_11089,1
3,Pseudomonas_aeruginosa_39016_153,1
3,Pseudomonas_aeruginosa_3C1A_isolate_Jpn1563_9934,1
39,Pseudomonas_aeruginosa_4014_7122,1
3,Pseudomonas_aeruginosa_4064320487_10869,1
3,Pseudomonas_aeruginosa_4094345258_10870,1
91,Pseudomonas_aeruginosa_41004355322_10900,1
3,Pseudomonas_aeruginosa_4104355340-13_10856,1
3,Pseudomonas_aeruginosa_4104355340-15_10890,1
3,Pseudomonas_aeruginosa_5024379144-15_10872,1
3,Pseudomonas_aeruginosa_5034388498-20_10898,1
3,Pseudomonas_aeruginosa_5054408345_10887,1
39,Pseudomonas_aeruginosa_519119_11949,1
3,Pseudomonas_aeruginosa_5998_10918,1
91,Pseudomonas_aeruginosa_6004_10913,1
3,Pseudomonas_aeruginosa_60503_11947,1
3,Pseudomonas_aeruginosa_6077_592,1
3,Pseudomonas_aeruginosa_60861_10911,1
3,Pseudomonas_aeruginosa_6096_10931,1
91,Pseudomonas_aeruginosa_62_606,1
3,Pseudomonas_aeruginosa_6354_11961,1
39,Pseudomonas_aeruginosa_6762_9898,1
91,Pseudomonas_aeruginosa_8380_3922,1
39,Pseudomonas_aeruginosa_97_9520,1
39,Pseudomonas_aeruginosa_9BR_360,1
3,Pseudomonas_aeruginosa_A681_11948,1
39,Pseudomonas_aeruginosa_AES1M_10829,1
39,Pseudomonas_aeruginosa_AES1R_10830,1
3,Pseudomonas_aeruginosa_AL561_9961,1
3,Pseudomonas_aeruginosa_AMT0046-109_10179,1
3,Pseudomonas_aeruginosa_AR439_6890,1
3,Pseudomonas_aeruginosa_AR441_6528,1
91,Pseudomonas_aeruginosa_AR442_6465,1
3,Pseudomonas_aeruginosa_AR444_6466,1
39,Pseudomonas_aeruginosa_AR_0054_5602,1
39,Pseudomonas_aeruginosa_AR_0064_5691,1
3,Pseudomonas_aeruginosa_AR_0092_5398,1
3,Pseudomonas_aeruginosa_AR_0094_5101,1
3,Pseudomonas_aeruginosa_AR_0095_6299,1
3,Pseudomonas_aeruginosa_AR_0108_5099,1
3,Pseudomonas_aeruginosa_AR_0110_6371,1
3,Pseudomonas_aeruginosa_AR_0111_9636,1
91,Pseudomonas_aeruginosa_AR_0351_6802,1
3,Pseudomonas_aeruginosa_AR_0352_6551,1
3,Pseudomonas_aeruginosa_AR_0353_6205,1
3,Pseudomonas_aeruginosa_AR_0354_6975,1
3,Pseudomonas_aeruginosa_AR_0355_6424,1
3,Pseudomonas_aeruginosa_AR_0356_7083,1
3,Pseudomonas_aeruginosa_AR_0357_7058,1
91,Pseudomonas_aeruginosa_AR_0358_6681,1
3,Pseudomonas_aeruginosa_AR_0360_6841,1
3,Pseudomonas_aeruginosa_AR_0440_5929,1
3,Pseudomonas_aeruginosa_AR_0443_7234,1
3,Pseudomonas_aeruginosa_AR_0446_6897,1
3,Pseudomonas_aeruginosa_AR_0447_6297,1
3,Pseudomonas_aeruginosa_AR_0449_7291,1
3,Pseudomonas_aeruginosa_AR_0456_6783,1
3,Pseudomonas_aeruginosa_AR_0457_6640,1
91,Pseudomonas_aeruginosa_AR_0459_6642,1
3,Pseudomonas_aeruginosa_AR_458_7202,1
3,Pseudomonas_aeruginosa_AR_460_7261,1
3,Pseudomonas_aeruginosa_ATCC_27853_3104,1
