source,target,isproduce,edgesize,edgecolor
sid-1,Cheater-r(1):b1,0,1,#191970
sid-1,Cheater-r(7):b2,0,1,#191970
sid-2,Cheater-r(7):b2,0,1,#FFFF54
sid-24,Cheater-r(7):b2,0,1,#BFBFBF
sid-35,Cheater-r(7):b2,0,1,#00FFFF
sid-56,Cheater-r(7):b2,0,1,#BFBFBF
sid-1,Cheater-r(8):b3,0,1,#191970
sid-2,Cheater-r(8):b3,0,1,#FFFF54
sid-24,Cheater-r(8):b3,0,1,#BFBFBF
sid-35,Cheater-r(8):b3,0,1,#00FFFF
sid-45,Cheater-r(8):b3,0,1,#BFBFBF
sid-91,Cheater-r(8):b3,0,1,#FF00FF
sid-93,Cheater-r(8):b3,0,1,#BFBFBF
sid-1,Cheater-r(7):b4,0,1,#191970
sid-2,Cheater-r(7):b4,0,1,#FFFF54
sid-24,Cheater-r(7):b4,0,1,#BFBFBF
sid-35,Cheater-r(7):b4,0,1,#00FFFF
sid-45,Cheater-r(7):b4,0,1,#BFBFBF
sid-93,Cheater-r(7):b4,0,1,#BFBFBF
sid-1,Cheater-r(8):b5,0,1,#191970
sid-2,Cheater-r(8):b5,0,1,#FFFF54
sid-24,Cheater-r(8):b5,0,1,#BFBFBF
sid-35,Cheater-r(8):b5,0,1,#00FFFF
sid-56,Cheater-r(8):b5,0,1,#BFBFBF
sid-93,Cheater-r(8):b5,0,1,#BFBFBF
sid-1,Cheater-r(7):b6,0,1,#191970
sid-2,Cheater-r(7):b6,0,1,#FFFF54
sid-24,Cheater-r(7):b6,0,1,#BFBFBF
sid-35,Cheater-r(7):b6,0,1,#00FFFF
sid-56,Cheater-r(7):b6,0,1,#BFBFBF
sid-93,Cheater-r(7):b6,0,1,#BFBFBF
sid-1,Cheater-r(4):b7,0,1,#191970
sid-2,Cheater-r(4):b7,0,1,#FFFF54
sid-24,Cheater-r(4):b7,0,1,#BFBFBF
sid-35,Cheater-r(4):b7,0,1,#00FFFF
