nodename,issid,nodesize,straintype,color,human,plant,soil,water,unknown,others
sid-1,1,52,nan,#191970
sid-2,1,53,nan,#FFFF54
sid-3,1,423,nan,#FF0000
sid-4,1,55,nan,#BFBFBF
sid-5,1,51,nan,#BFBFBF
sid-6,1,51,nan,#BFBFBF
sid-7,1,51,nan,#BFBFBF
sid-15,1,55,nan,#BFBFBF
sid-23,1,57,nan,#BFBFBF
sid-24,1,53,nan,#BFBFBF
sid-26,1,51,nan,#BFBFBF
sid-35,1,408,nan,#00FFFF
sid-36,1,135,nan,#DDA0DD
sid-37,1,60,nan,#00BFFF
sid-38,1,55,nan,#BFBFBF
sid-39,1,136,nan,#7F007F
sid-45,1,63,nan,#BFBFBF
sid-46,1,51,nan,#BFBFBF
sid-47,1,51,nan,#BFBFBF
sid-55,1,51,nan,#BFBFBF
sid-56,1,51,nan,#BFBFBF
sid-57,1,51,nan,#BFBFBF
sid-58,1,56,nan,#BFBFBF
sid-65,1,54,nan,#BFBFBF
sid-66,1,56,nan,#BFBFBF
sid-68,1,79,nan,#F08080
sid-69,1,52,nan,#BFBFBF
sid-70,1,69,nan,#00FA9A
sid-72,1,76,nan,#4169E1
sid-75,1,52,nan,#800000
sid-76,1,78,nan,#2E8B57
sid-77,1,53,nan,#BFBFBF
sid-78,1,52,nan,#BFBFBF
sid-80,1,70,nan,#808000
sid-81,1,65,nan,#BFBFBF
sid-82,1,53,nan,#BFBFBF
sid-84,1,56,nan,#BFBFBF
sid-85,1,52,nan,#BFBFBF
sid-86,1,51,nan,#BFBFBF
sid-87,1,53,nan,#BFBFBF
sid-88,1,51,nan,#BFBFBF
sid-89,1,51,nan,#BFBFBF
sid-90,1,152,nan,#0000CD
sid-91,1,328,nan,#FF00FF
sid-92,1,104,nan,#FF8C00
sid-93,1,54,nan,#BFBFBF
sid-94,1,133,nan,#7FFF00
Cheater-r(1):b1,0,2,3,nan,1,0,0,0,0,1
Cheater-r(7):b2,0,1,3,nan,0,0,0,0,1,0
Cheater-r(8):b3,0,1,3,nan,0,0,0,0,1,0
Cheater-r(7):b4,0,1,3,nan,0,0,0,0,1,0
Cheater-r(8):b5,0,1,3,nan,0,0,0,0,1,0
Cheater-r(7):b6,0,1,3,nan,0,0,0,0,1,0
Cheater-r(4):b7,0,1,3,nan,0,0,0,0,1,0
Cheater-r(5):b8,0,1,3,nan,0,0,0,0,1,0
Cheater-r(2):b9,0,1,3,nan,0,0,0,0,0,1
Cheater-r(14):b10,0,1,3,nan,0,0,0,0,1,0
Cheater-r(13):b11,0,1,3,nan,0,1,0,0,0,0
Cheater-r(3):b12,0,1,3,nan,0,0,1,0,0,0
Cheater-r(3):b13,0,1,3,nan,0,0,1,0,0,0
Cheater-r(5):b14,0,1,3,nan,0,0,0,0,1,0
Cheater-r(10):b15,0,1,3,nan,0,0,1,0,0,0
Cheater-r(4):b16,0,1,3,nan,1,0,0,0,0,0
Cheater-r(11):b17,0,1,3,nan,0,0,1,0,0,0
Cheater-r(7):b18,0,1,3,nan,0,0,1,0,0,0
Cheater-r(5):b19,0,1,3,nan,0,0,0,1,0,0
Cheater-r(4):b20,0,3,3,nan,0,0,1,0,2,0
Cheater-r(8):b21,0,1,3,nan,1,0,0,0,0,0
Cheater-r(3):b22,0,1,3,nan,0,0,1,0,0,0
Cheater-r(2):b23,0,2,3,nan,0,1,1,0,0,0
Cheater-r(1):b24,0,1,3,nan,0,0,0,0,1,0
Cheater-r(2):b25,0,1,3,nan,0,0,0,0,0,1
Cheater-r(1):b26,0,10,3,nan,4,0,0,0,6,0
Cheater-r(11):b27,0,1,3,nan,0,0,1,0,0,0
Cheater-r(8):b28,0,1,3,nan,0,0,0,0,0,1
