source,target,isproduce,edgesize,edgecolor
sid-94,Cheater-r(4):b2,0,1,#7FFF00
sid-45,Cheater-r(8):b3,0,1,#BFBFBF
sid-58,Cheater-r(8):b3,0,1,#BFBFBF
sid-80,Cheater-r(8):b3,0,1,#BFBFBF
sid-94,Cheater-r(8):b3,0,1,#7FFF00
sid-3,Cheater-r(1):b4,0,1,#FF0000
sid-3,Cheater-r(5):b5,0,1,#FF0000
sid-38,Cheater-r(5):b5,0,1,#BFBFBF
sid-45,Cheater-r(5):b5,0,1,#BFBFBF
sid-39,Cheater-r(1):b8,0,1,#7F007F
sid-91,Cheater-r(1):b9,0,1,#FF00FF
Pure-s3:b10,sid-3,1,210,#000000
sid-3,Pure-s3:b10,0,1,#FF0000
Partial-s3-r(2):b11,sid-3,1,1,#000000
sid-3,Partial-s3-r(2):b11,0,1,#FF0000
Partial-s3-r(2):b12,sid-3,1,2,#000000
sid-3,Partial-s3-r(2):b12,0,1,#FF0000
sid-72,Partial-s3-r(2):b12,0,1,#BFBFBF
Partial-s3-r(2):b13,sid-3,1,2,#000000
sid-3,Partial-s3-r(2):b13,0,1,#FF0000
sid-94,Partial-s3-r(2):b13,0,1,#7FFF00
Partial-s4-r(3):b14,sid-4,1,1,#000000
sid-4,Partial-s4-r(3):b14,0,1,#BFBFBF
sid-72,Partial-s4-r(3):b14,0,1,#BFBFBF
sid-80,Partial-s4-r(3):b14,0,1,#BFBFBF
Partial-s38-r(3):b15,sid-38,1,1,#000000
sid-38,Partial-s38-r(3):b15,0,1,#BFBFBF
sid-94,Partial-s38-r(3):b15,0,1,#7FFF00
Partial-s39-r(3):b16,sid-39,1,1,#000000
sid-39,Partial-s39-r(3):b16,0,1,#7F007F
Pure-s39:b17,sid-39,1,55,#000000
sid-39,Pure-s39:b17,0,1,#7F007F
Partial-s39-r(3):b18,sid-39,1,1,#000000
sid-39,Partial-s39-r(3):b18,0,1,#7F007F
Partial-s39-r(2):b19,sid-39,1,2,#000000
sid-39,Partial-s39-r(2):b19,0,1,#7F007F
sid-80,Partial-s39-r(2):b19,0,1,#BFBFBF
Partial-s45-r(11):b20,sid-45,1,1,#000000
sid-3,Partial-s45-r(11):b20,0,1,#FF0000
sid-45,Partial-s45-r(11):b20,0,1,#BFBFBF
sid-70,Partial-s45-r(11):b20,0,1,#BFBFBF
sid-72,Partial-s45-r(11):b20,0,1,#BFBFBF
sid-90,Partial-s45-r(11):b20,0,1,#BFBFBF
sid-91,Partial-s45-r(11):b20,0,1,#FF00FF
sid-94,Partial-s45-r(11):b20,0,1,#7FFF00
Partial-s58-r(5):b21,sid-58,1,1,#000000
sid-58,Partial-s58-r(5):b21,0,1,#BFBFBF
sid-87,Partial-s58-r(5):b21,0,1,#BFBFBF
sid-91,Partial-s58-r(5):b21,0,1,#FF00FF
Partial-s58-r(3):b22,sid-58,1,3,#000000
sid-58,Partial-s58-r(3):b22,0,1,#BFBFBF
sid-87,Partial-s58-r(3):b22,0,1,#BFBFBF
Partial-s66-r(5):b23,sid-66,1,1,#000000
sid-38,Partial-s66-r(5):b23,0,1,#BFBFBF
sid-66,Partial-s66-r(5):b23,0,1,#BFBFBF
sid-94,Partial-s66-r(5):b23,0,1,#7FFF00
Partial-s70-r(2):b24,sid-70,1,1,#000000
sid-70,Partial-s70-r(2):b24,0,1,#BFBFBF
Partial-s72-r(6):b25,sid-72,1,1,#000000
sid-3,Partial-s72-r(6):b25,0,1,#FF0000
sid-72,Partial-s72-r(6):b25,0,1,#BFBFBF
sid-91,Partial-s72-r(6):b25,0,1,#FF00FF
sid-94,Partial-s72-r(6):b25,0,1,#7FFF00
Partial-s72-r(6):b26,sid-72,1,1,#000000
sid-72,Partial-s72-r(6):b26,0,1,#BFBFBF
Pure-s75:b27,sid-75,1,1,#000000
sid-75,Pure-s75:b27,0,1,#800000
Pure-s76:b28,sid-76,1,2,#000000
sid-76,Pure-s76:b28,0,1,#2E8B57
Partial-s76-r(2):b29,sid-76,1,1,#000000
sid-76,Partial-s76-r(2):b29,0,1,#2E8B57
Partial-s80-r(4):b30,sid-80,1,1,#000000
sid-4,Partial-s80-r(4):b30,0,1,#BFBFBF
sid-72,Partial-s80-r(4):b30,0,1,#BFBFBF
sid-80,Partial-s80-r(4):b30,0,1,#BFBFBF
Partial-s81-r(5):b31,sid-81,1,1,#000000
sid-3,Partial-s81-r(5):b31,0,1,#FF0000
sid-81,Partial-s81-r(5):b31,0,1,#BFBFBF
sid-90,Partial-s81-r(5):b31,0,1,#BFBFBF
sid-94,Partial-s81-r(5):b31,0,1,#7FFF00
Partial-s81-r(3):b32,sid-81,1,2,#000000
sid-81,Partial-s81-r(3):b32,0,1,#BFBFBF
sid-90,Partial-s81-r(3):b32,0,1,#BFBFBF
sid-94,Partial-s81-r(3):b32,0,1,#7FFF00
Partial-s87-r(2):b33,sid-87,1,1,#000000
sid-87,Partial-s87-r(2):b33,0,1,#BFBFBF
Partial-s90-r(4):b34,sid-90,1,6,#000000
sid-90,Partial-s90-r(4):b34,0,1,#BFBFBF
sid-91,Partial-s90-r(4):b34,0,1,#FF00FF
sid-94,Partial-s90-r(4):b34,0,1,#7FFF00
Partial-s90-r(3):b35,sid-90,1,1,#000000
sid-90,Partial-s90-r(3):b35,0,1,#BFBFBF
sid-91,Partial-s90-r(3):b35,0,1,#FF00FF
sid-94,Partial-s90-r(3):b35,0,1,#7FFF00
Partial-s91-r(6):b36,sid-91,1,1,#000000
sid-3,Partial-s91-r(6):b36,0,1,#FF0000
sid-91,Partial-s91-r(6):b36,0,1,#FF00FF
sid-94,Partial-s91-r(6):b36,0,1,#7FFF00
Partial-s91-r(8):b37,sid-91,1,1,#000000
sid-3,Partial-s91-r(8):b37,0,1,#FF0000
sid-72,Partial-s91-r(8):b37,0,1,#BFBFBF
sid-90,Partial-s91-r(8):b37,0,1,#BFBFBF
sid-91,Partial-s91-r(8):b37,0,1,#FF00FF
sid-94,Partial-s91-r(8):b37,0,1,#7FFF00
Partial-s91-r(5):b38,sid-91,1,3,#000000
sid-3,Partial-s91-r(5):b38,0,1,#FF0000
sid-91,Partial-s91-r(5):b38,0,1,#FF00FF
sid-94,Partial-s91-r(5):b38,0,1,#7FFF00
Partial-s91-r(4):b39,sid-91,1,1,#000000
sid-3,Partial-s91-r(4):b39,0,1,#FF0000
sid-91,Partial-s91-r(4):b39,0,1,#FF00FF
Partial-s91-r(4):b40,sid-91,1,1,#000000
sid-3,Partial-s91-r(4):b40,0,1,#FF0000
sid-91,Partial-s91-r(4):b40,0,1,#FF00FF
sid-94,Partial-s91-r(4):b40,0,1,#7FFF00
Pure-s91:b41,sid-91,1,80,#000000
sid-91,Pure-s91:b41,0,1,#FF00FF
Pure-s92:b42,sid-92,1,1,#000000
sid-92,Pure-s92:b42,0,1,#FF8C00
Partial-s94-r(2):b43,sid-94,1,1,#000000
sid-94,Partial-s94-r(2):b43,0,1,#7FFF00
Pure-s94:b44,sid-94,1,3,#000000
sid-94,Pure-s94:b44,0,1,#7FFF00
