nodename,issid,nodesize,straintype,color
sid-3,1,265,nan,#FF0000
sid-4,1,51,nan,#BFBFBF
sid-38,1,51,nan,#BFBFBF
sid-39,1,109,nan,#7F007F
sid-45,1,51,nan,#BFBFBF
sid-58,1,54,nan,#BFBFBF
sid-66,1,51,nan,#BFBFBF
sid-70,1,51,nan,#BFBFBF
sid-72,1,52,nan,#BFBFBF
sid-75,1,51,nan,#800000
sid-76,1,53,nan,#2E8B57
sid-80,1,51,nan,#BFBFBF
sid-81,1,53,nan,#BFBFBF
sid-87,1,51,nan,#BFBFBF
sid-90,1,57,nan,#BFBFBF
sid-91,1,137,nan,#FF00FF
sid-92,1,51,nan,#FF8C00
sid-94,1,54,nan,#7FFF00
Cheater-r(4):b2,0,1,3,nan
Cheater-r(8):b3,0,1,3,nan
Cheater-r(1):b4,0,4,3,nan
Cheater-r(5):b5,0,1,3,nan
Cheater-r(1):b8,0,1,3,nan
Cheater-r(1):b9,0,5,3,nan
Pure-s3:b10,0,210,1,nan
Partial-s3-r(2):b11,0,1,2,nan
Partial-s3-r(2):b12,0,2,2,nan
Partial-s3-r(2):b13,0,2,2,nan
Partial-s4-r(3):b14,0,1,2,nan
Partial-s38-r(3):b15,0,1,2,nan
Partial-s39-r(3):b16,0,1,2,nan
Pure-s39:b17,0,55,1,nan
Partial-s39-r(3):b18,0,1,2,nan
Partial-s39-r(2):b19,0,2,2,nan
Partial-s45-r(11):b20,0,1,2,nan
Partial-s58-r(5):b21,0,1,2,nan
Partial-s58-r(3):b22,0,3,2,nan
Partial-s66-r(5):b23,0,1,2,nan
Partial-s70-r(2):b24,0,1,2,nan
Partial-s72-r(6):b25,0,1,2,nan
Partial-s72-r(6):b26,0,1,2,nan
Pure-s75:b27,0,1,1,nan
Pure-s76:b28,0,2,1,nan
Partial-s76-r(2):b29,0,1,2,nan
Partial-s80-r(4):b30,0,1,2,nan
Partial-s81-r(5):b31,0,1,2,nan
Partial-s81-r(3):b32,0,2,2,nan
Partial-s87-r(2):b33,0,1,2,nan
Partial-s90-r(4):b34,0,6,2,nan
Partial-s90-r(3):b35,0,1,2,nan
Partial-s91-r(6):b36,0,1,2,nan
Partial-s91-r(8):b37,0,1,2,nan
Partial-s91-r(5):b38,0,3,2,nan
Partial-s91-r(4):b39,0,1,2,nan
Partial-s91-r(4):b40,0,1,2,nan
Pure-s91:b41,0,80,1,nan
Pure-s92:b42,0,1,1,nan
Partial-s94-r(2):b43,0,1,2,nan
Pure-s94:b44,0,3,1,nan
