source,target,isproduce,edgesize,edgecolor
sid-3,Cheater-r(13):b1,0,1,#FF0000
sid-5,Cheater-r(13):b1,0,1,#BFBFBF
sid-36,Cheater-r(13):b1,0,1,#DDA0DD
sid-72,Cheater-r(13):b1,0,1,#4169E1
sid-81,Cheater-r(13):b1,0,1,#BFBFBF
sid-90,Cheater-r(13):b1,0,1,#0000CD
sid-91,Cheater-r(13):b1,0,1,#FF00FF
sid-92,Cheater-r(13):b1,0,1,#FF8C00
sid-94,Cheater-r(13):b1,0,1,#7FFF00
sid-94,Cheater-r(2):b2,0,1,#7FFF00
sid-3,Cheater-r(2):b3,0,1,#FF0000
sid-90,Cheater-r(2):b3,0,1,#0000CD
sid-6,Cheater-r(3):b4,0,1,#BFBFBF
sid-35,Cheater-r(3):b4,0,1,#00FFFF
sid-94,Cheater-r(3):b4,0,1,#7FFF00
sid-7,Cheater-r(11):b5,0,1,#BFBFBF
sid-35,Cheater-r(11):b5,0,1,#00FFFF
sid-72,Cheater-r(11):b5,0,1,#4169E1
sid-81,Cheater-r(11):b5,0,1,#BFBFBF
sid-94,Cheater-r(11):b5,0,1,#7FFF00
sid-7,Cheater-r(8):b6,0,1,#BFBFBF
sid-90,Cheater-r(8):b6,0,1,#0000CD
sid-91,Cheater-r(8):b6,0,1,#FF00FF
sid-24,Cheater-r(3):b7,0,1,#BFBFBF
sid-24,Cheater-r(5):b8,0,1,#BFBFBF
sid-35,Cheater-r(5):b8,0,1,#00FFFF
sid-80,Cheater-r(5):b8,0,1,#808000
sid-93,Cheater-r(5):b8,0,1,#BFBFBF
sid-24,Cheater-r(2):b9,0,1,#BFBFBF
sid-35,Cheater-r(1):b11,0,1,#00FFFF
sid-35,Cheater-r(4):b12,0,1,#00FFFF
sid-80,Cheater-r(4):b12,0,1,#808000
sid-93,Cheater-r(4):b12,0,1,#BFBFBF
sid-80,Cheater-r(4):b13,0,1,#808000
sid-80,Cheater-r(5):b14,0,1,#808000
sid-92,Cheater-r(1):b16,0,1,#FF8C00
Partial-s3-r(2):b17,sid-3,1,3,#000000
sid-3,Partial-s3-r(2):b17,0,1,#FF0000
Partial-s3-r(8):b18,sid-3,1,1,#000000
sid-3,Partial-s3-r(8):b18,0,1,#FF0000
sid-35,Partial-s3-r(8):b18,0,1,#00FFFF
sid-36,Partial-s3-r(8):b18,0,1,#DDA0DD
sid-81,Partial-s3-r(8):b18,0,1,#BFBFBF
Partial-s3-r(3):b19,sid-3,1,1,#000000
sid-3,Partial-s3-r(3):b19,0,1,#FF0000
sid-4,Partial-s3-r(3):b19,0,1,#BFBFBF
Partial-s3-r(3):b20,sid-3,1,1,#000000
sid-3,Partial-s3-r(3):b20,0,1,#FF0000
sid-90,Partial-s3-r(3):b20,0,1,#0000CD
Partial-s3-r(4):b21,sid-3,1,1,#000000
sid-3,Partial-s3-r(4):b21,0,1,#FF0000
sid-90,Partial-s3-r(4):b21,0,1,#0000CD
sid-94,Partial-s3-r(4):b21,0,1,#7FFF00
Pure-s3:b22,sid-3,1,6,#000000
sid-3,Pure-s3:b22,0,1,#FF0000
Partial-s3-r(4):b23,sid-3,1,1,#000000
sid-3,Partial-s3-r(4):b23,0,1,#FF0000
sid-6,Partial-s3-r(4):b23,0,1,#BFBFBF
sid-37,Partial-s3-r(4):b23,0,1,#BFBFBF
sid-91,Partial-s3-r(4):b23,0,1,#FF00FF
Partial-s3-r(2):b24,sid-3,1,1,#000000
sid-3,Partial-s3-r(2):b24,0,1,#FF0000
sid-90,Partial-s3-r(2):b24,0,1,#0000CD
Partial-s3-r(2):b25,sid-3,1,2,#000000
sid-3,Partial-s3-r(2):b25,0,1,#FF0000
sid-94,Partial-s3-r(2):b25,0,1,#7FFF00
Partial-s4-r(2):b26,sid-4,1,1,#000000
sid-4,Partial-s4-r(2):b26,0,1,#BFBFBF
sid-94,Partial-s4-r(2):b26,0,1,#7FFF00
Partial-s5-r(19):b27,sid-5,1,1,#000000
sid-3,Partial-s5-r(19):b27,0,1,#FF0000
sid-5,Partial-s5-r(19):b27,0,1,#BFBFBF
sid-35,Partial-s5-r(19):b27,0,1,#00FFFF
sid-55,Partial-s5-r(19):b27,0,1,#BFBFBF
sid-72,Partial-s5-r(19):b27,0,1,#4169E1
sid-80,Partial-s5-r(19):b27,0,1,#808000
sid-92,Partial-s5-r(19):b27,0,1,#FF8C00
sid-94,Partial-s5-r(19):b27,0,1,#7FFF00
Partial-s6-r(7):b28,sid-6,1,1,#000000
sid-6,Partial-s6-r(7):b28,0,1,#BFBFBF
sid-35,Partial-s6-r(7):b28,0,1,#00FFFF
sid-80,Partial-s6-r(7):b28,0,1,#808000
Partial-s7-r(9):b29,sid-7,1,1,#000000
sid-7,Partial-s7-r(9):b29,0,1,#BFBFBF
sid-37,Partial-s7-r(9):b29,0,1,#BFBFBF
sid-72,Partial-s7-r(9):b29,0,1,#4169E1
sid-90,Partial-s7-r(9):b29,0,1,#0000CD
sid-91,Partial-s7-r(9):b29,0,1,#FF00FF
sid-93,Partial-s7-r(9):b29,0,1,#BFBFBF
Partial-s23-r(2):b30,sid-23,1,1,#000000
sid-23,Partial-s23-r(2):b30,0,1,#BFBFBF
Partial-s24-r(8):b31,sid-24,1,1,#000000
sid-7,Partial-s24-r(8):b31,0,1,#BFBFBF
sid-24,Partial-s24-r(8):b31,0,1,#BFBFBF
sid-35,Partial-s24-r(8):b31,0,1,#00FFFF
sid-80,Partial-s24-r(8):b31,0,1,#808000
Partial-s35-r(5):b32,sid-35,1,1,#000000
sid-35,Partial-s35-r(5):b32,0,1,#00FFFF
sid-93,Partial-s35-r(5):b32,0,1,#BFBFBF
Partial-s35-r(2):b33,sid-35,1,33,#000000
