nodename,issid,nodesize,straintype,color
sid-3,1,67,nan,#FF0000
sid-4,1,51,nan,#BFBFBF
sid-5,1,51,nan,#BFBFBF
sid-6,1,51,nan,#BFBFBF
sid-7,1,51,nan,#BFBFBF
sid-23,1,51,nan,#BFBFBF
sid-24,1,51,nan,#BFBFBF
sid-35,1,144,nan,#00FFFF
sid-36,1,64,nan,#DDA0DD
sid-37,1,51,nan,#BFBFBF
sid-39,1,51,nan,#7F007F
sid-46,1,51,nan,#BFBFBF
sid-55,1,51,nan,#BFBFBF
sid-58,1,51,nan,#BFBFBF
sid-68,1,53,nan,#BFBFBF
sid-70,1,51,nan,#BFBFBF
sid-72,1,54,nan,#4169E1
sid-76,1,55,nan,#BFBFBF
sid-80,1,52,nan,#808000
sid-81,1,54,nan,#BFBFBF
sid-90,1,59,nan,#0000CD
sid-91,1,78,nan,#FF00FF
sid-92,1,57,nan,#FF8C00
sid-93,1,51,nan,#BFBFBF
sid-94,1,61,nan,#7FFF00
Cheater-r(13):b1,0,1,3,nan
Cheater-r(2):b2,0,1,3,nan
Cheater-r(2):b3,0,1,3,nan
Cheater-r(3):b4,0,1,3,nan
Cheater-r(11):b5,0,1,3,nan
Cheater-r(8):b6,0,1,3,nan
Cheater-r(3):b7,0,2,3,nan
Cheater-r(5):b8,0,1,3,nan
Cheater-r(2):b9,0,1,3,nan
Cheater-r(1):b11,0,2,3,nan
Cheater-r(4):b12,0,1,3,nan
Cheater-r(4):b13,0,1,3,nan
Cheater-r(5):b14,0,1,3,nan
Cheater-r(1):b16,0,1,3,nan
Partial-s3-r(2):b17,0,3,2,nan
Partial-s3-r(8):b18,0,1,2,nan
Partial-s3-r(3):b19,0,1,2,nan
Partial-s3-r(3):b20,0,1,2,nan
Partial-s3-r(4):b21,0,1,2,nan
Pure-s3:b22,0,6,1,nan
Partial-s3-r(4):b23,0,1,2,nan
Partial-s3-r(2):b24,0,1,2,nan
Partial-s3-r(2):b25,0,2,2,nan
Partial-s4-r(2):b26,0,1,2,nan
Partial-s5-r(19):b27,0,1,2,nan
Partial-s6-r(7):b28,0,1,2,nan
Partial-s7-r(9):b29,0,1,2,nan
Partial-s23-r(2):b30,0,1,2,nan
Partial-s24-r(8):b31,0,1,2,nan
Partial-s35-r(5):b32,0,1,2,nan
Partial-s35-r(2):b33,0,33,2,nan
Partial-s35-r(3):b34,0,1,2,nan
Pure-s35:b35,0,59,1,nan
Partial-s36-r(5):b36,0,1,2,nan
Partial-s36-r(3):b37,0,1,2,nan
Pure-s36:b38,0,5,1,nan
Partial-s36-r(2):b39,0,2,2,nan
Partial-s36-r(3):b40,0,2,2,nan
Partial-s36-r(2):b41,0,3,2,nan
Partial-s37-r(2):b42,0,1,2,nan
Pure-s39:b43,0,1,1,nan
Partial-s46-r(8):b44,0,1,2,nan
Partial-s55-r(4):b45,0,1,2,nan
Partial-s58-r(3):b46,0,1,2,nan
Partial-s68-r(8):b47,0,1,2,nan
Partial-s68-r(7):b48,0,1,2,nan
Partial-s68-r(6):b49,0,1,2,nan
Partial-s70-r(8):b50,0,1,2,nan
Partial-s72-r(4):b51,0,1,2,nan
Partial-s72-r(2):b52,0,1,2,nan
Pure-s72:b53,0,2,1,nan
Partial-s76-r(14):b54,0,1,2,nan
Partial-s76-r(11):b55,0,1,2,nan
Partial-s76-r(11):b56,0,1,2,nan
Partial-s76-r(2):b57,0,2,2,nan
Partial-s80-r(3):b58,0,1,2,nan
Pure-s80:b59,0,1,1,nan
Partial-s81-r(7):b60,0,1,2,nan
Partial-s81-r(6):b61,0,1,2,nan
Partial-s81-r(5):b62,0,2,2,nan
Partial-s90-r(2):b63,0,1,2,nan
Partial-s90-r(3):b64,0,1,2,nan
Partial-s90-r(4):b65,0,1,2,nan
Partial-s90-r(2):b66,0,1,2,nan
Partial-s90-r(3):b67,0,1,2,nan
Pure-s90:b68,0,4,1,nan
Partial-s91-r(8):b69,0,1,2,nan
Partial-s91-r(6):b70,0,1,2,nan
Partial-s91-r(7):b71,0,1,2,nan
Partial-s91-r(6):b72,0,1,2,nan
Partial-s91-r(5):b73,0,1,2,nan
Partial-s91-r(6):b74,0,1,2,nan
Partial-s91-r(6):b75,0,1,2,nan
Partial-s91-r(3):b76,0,1,2,nan
Partial-s91-r(5):b77,0,1,2,nan
Partial-s91-r(6):b78,0,1,2,nan
Partial-s91-r(4):b79,0,1,2,nan
Partial-s91-r(3):b80,0,1,2,nan
Partial-s91-r(4):b81,0,3,2,nan
Partial-s91-r(3):b82,0,1,2,nan
Partial-s91-r(2):b83,0,3,2,nan
Partial-s91-r(3):b84,0,1,2,nan
Partial-s91-r(2):b85,0,4,2,nan
Partial-s91-r(3):b86,0,1,2,nan
Partial-s91-r(3):b87,0,1,2,nan
Pure-s91:b88,0,1,1,nan
Partial-s91-r(2):b89,0,1,2,nan
Partial-s92-r(4):b90,0,1,2,nan
Partial-s92-r(4):b91,0,1,2,nan
Partial-s92-r(2):b92,0,1,2,nan
Partial-s92-r(3):b93,0,1,2,nan
Pure-s92:b94,0,3,1,nan
Partial-s93-r(7):b95,0,1,2,nan
Partial-s94-r(2):b96,0,6,2,nan
Partial-s94-r(4):b97,0,1,2,nan
Partial-s94-r(2):b98,0,1,2,nan
Pure-s94:b99,0,3,1,nan
