source,target,isproduce,edgesize,edgecolor
sid-1,Cheater-r(3):b1,0,1,#191970
sid-94,Cheater-r(3):b1,0,1,#7FFF00
sid-1,Cheater-r(3):b2,0,1,#191970
sid-87,Cheater-r(3):b2,0,1,#BFBFBF
sid-1,Cheater-r(10):b3,0,1,#191970
sid-36,Cheater-r(10):b3,0,1,#DDA0DD
sid-58,Cheater-r(10):b3,0,1,#BFBFBF
sid-65,Cheater-r(10):b3,0,1,#BFBFBF
sid-66,Cheater-r(10):b3,0,1,#BFBFBF
sid-76,Cheater-r(10):b3,0,1,#2E8B57
sid-92,Cheater-r(10):b3,0,1,#FF8C00
sid-94,Cheater-r(10):b3,0,1,#7FFF00
sid-1,Cheater-r(11):b4,0,1,#191970
sid-45,Cheater-r(11):b4,0,1,#BFBFBF
sid-58,Cheater-r(11):b4,0,1,#BFBFBF
sid-66,Cheater-r(11):b4,0,1,#BFBFBF
sid-80,Cheater-r(11):b4,0,1,#BFBFBF
sid-92,Cheater-r(11):b4,0,1,#FF8C00
sid-93,Cheater-r(11):b4,0,1,#BFBFBF
sid-94,Cheater-r(11):b4,0,1,#7FFF00
sid-1,Cheater-r(7):b5,0,1,#191970
sid-45,Cheater-r(7):b5,0,1,#BFBFBF
sid-92,Cheater-r(7):b5,0,1,#FF8C00
sid-94,Cheater-r(7):b5,0,1,#7FFF00
sid-1,Cheater-r(4):b6,0,1,#191970
sid-94,Cheater-r(4):b6,0,1,#7FFF00
sid-1,Cheater-r(3):b7,0,1,#191970
sid-91,Cheater-r(3):b7,0,1,#FF00FF
sid-1,Cheater-r(2):b8,0,1,#191970
sid-94,Cheater-r(2):b8,0,1,#7FFF00
sid-3,Cheater-r(11):b9,0,1,#FF0000
sid-36,Cheater-r(11):b9,0,1,#DDA0DD
sid-45,Cheater-r(11):b9,0,1,#BFBFBF
sid-72,Cheater-r(11):b9,0,1,#4169E1
sid-80,Cheater-r(11):b9,0,1,#BFBFBF
sid-90,Cheater-r(11):b9,0,1,#0000CD
sid-92,Cheater-r(11):b9,0,1,#FF8C00
sid-94,Cheater-r(11):b9,0,1,#7FFF00
sid-3,Cheater-r(11):b10,0,1,#FF0000
sid-36,Cheater-r(11):b10,0,1,#DDA0DD
sid-45,Cheater-r(11):b10,0,1,#BFBFBF
sid-72,Cheater-r(11):b10,0,1,#4169E1
sid-80,Cheater-r(11):b10,0,1,#BFBFBF
sid-90,Cheater-r(11):b10,0,1,#0000CD
sid-92,Cheater-r(11):b10,0,1,#FF8C00
sid-94,Cheater-r(11):b10,0,1,#7FFF00
sid-3,Cheater-r(6):b11,0,1,#FF0000
sid-58,Cheater-r(6):b11,0,1,#BFBFBF
sid-90,Cheater-r(6):b11,0,1,#0000CD
sid-91,Cheater-r(6):b11,0,1,#FF00FF
sid-94,Cheater-r(6):b11,0,1,#7FFF00
sid-3,Cheater-r(4):b12,0,1,#FF0000
sid-77,Cheater-r(4):b12,0,1,#BFBFBF
sid-90,Cheater-r(4):b12,0,1,#0000CD
sid-91,Cheater-r(4):b12,0,1,#FF00FF
sid-3,Cheater-r(6):b13,0,1,#FF0000
sid-77,Cheater-r(6):b13,0,1,#BFBFBF
sid-90,Cheater-r(6):b13,0,1,#0000CD
sid-91,Cheater-r(6):b13,0,1,#FF00FF
sid-94,Cheater-r(6):b13,0,1,#7FFF00
sid-3,Cheater-r(5):b14,0,1,#FF0000
sid-90,Cheater-r(5):b14,0,1,#0000CD
sid-91,Cheater-r(5):b14,0,1,#FF00FF
