nodename,issid,nodesize,straintype,color
sid-1,1,51,nan,#191970
sid-3,1,66,nan,#FF0000
sid-4,1,52,nan,#BFBFBF
sid-15,1,51,nan,#BFBFBF
sid-35,1,60,nan,#00FFFF
sid-36,1,74,nan,#DDA0DD
sid-37,1,54,nan,#00BFFF
sid-39,1,52,nan,#7F007F
sid-45,1,52,nan,#BFBFBF
sid-57,1,51,nan,#BFBFBF
sid-58,1,51,nan,#BFBFBF
sid-65,1,54,nan,#BFBFBF
sid-66,1,52,nan,#BFBFBF
sid-68,1,62,nan,#F08080
sid-70,1,62,nan,#00FA9A
sid-72,1,54,nan,#4169E1
sid-76,1,55,nan,#2E8B57
sid-77,1,52,nan,#BFBFBF
sid-78,1,52,nan,#BFBFBF
sid-80,1,56,nan,#BFBFBF
sid-81,1,53,nan,#BFBFBF
sid-82,1,51,nan,#BFBFBF
sid-85,1,51,nan,#BFBFBF
sid-87,1,51,nan,#BFBFBF
sid-90,1,70,nan,#0000CD
sid-91,1,91,nan,#FF00FF
sid-92,1,61,nan,#FF8C00
sid-93,1,52,nan,#BFBFBF
sid-94,1,78,nan,#7FFF00
Cheater-r(3):b1,0,1,3,nan
Cheater-r(3):b2,0,1,3,nan
Cheater-r(10):b3,0,1,3,nan
Cheater-r(11):b4,0,1,3,nan
Cheater-r(7):b5,0,1,3,nan
Cheater-r(4):b6,0,1,3,nan
Cheater-r(3):b7,0,1,3,nan
Cheater-r(2):b8,0,1,3,nan
Cheater-r(11):b9,0,1,3,nan
Cheater-r(11):b10,0,1,3,nan
Cheater-r(6):b11,0,3,3,nan
Cheater-r(4):b12,0,1,3,nan
Cheater-r(6):b13,0,1,3,nan
Cheater-r(5):b14,0,1,3,nan
Cheater-r(4):b17,0,2,3,nan
Cheater-r(3):b18,0,1,3,nan
Cheater-r(4):b22,0,1,3,nan
Cheater-r(2):b23,0,1,3,nan
Cheater-r(3):b26,0,1,3,nan
Cheater-r(2):b29,0,1,3,nan
Cheater-r(2):b32,0,1,3,nan
Cheater-r(2):b34,0,1,3,nan
Pure-s1:b35,0,1,1,nan
Partial-s3-r(8):b36,0,1,2,nan
Partial-s3-r(2):b37,0,2,2,nan
Partial-s3-r(3):b38,0,2,2,nan
Partial-s3-r(4):b39,0,1,2,nan
Pure-s3:b40,0,8,1,nan
Partial-s3-r(2):b41,0,1,2,nan
Partial-s3-r(2):b42,0,1,2,nan
Partial-s4-r(2):b43,0,1,2,nan
Partial-s4-r(2):b44,0,1,2,nan
Partial-s15-r(9):b45,0,1,2,nan
Pure-s35:b46,0,6,1,nan
Partial-s35-r(6):b47,0,1,2,nan
Partial-s35-r(5):b48,0,1,2,nan
Partial-s35-r(3):b49,0,2,2,nan
