source,target,isproduce,edgesize,edgecolor
sid-1,Cheater-r(5):b1,0,1,#BFBFBF
sid-24,Cheater-r(5):b1,0,1,#BFBFBF
sid-66,Cheater-r(5):b1,0,1,#BFBFBF
sid-94,Cheater-r(5):b1,0,1,#7FFF00
sid-3,Cheater-r(7):b2,0,1,#FF0000
sid-36,Cheater-r(7):b2,0,1,#DDA0DD
sid-87,Cheater-r(7):b2,0,1,#BFBFBF
sid-91,Cheater-r(7):b2,0,1,#FF00FF
sid-3,Cheater-r(8):b3,0,1,#FF0000
sid-36,Cheater-r(8):b3,0,1,#DDA0DD
sid-87,Cheater-r(8):b3,0,1,#BFBFBF
sid-90,Cheater-r(8):b3,0,1,#0000CD
sid-91,Cheater-r(8):b3,0,1,#FF00FF
sid-3,Cheater-r(5):b4,0,1,#FF0000
sid-90,Cheater-r(5):b4,0,1,#0000CD
sid-91,Cheater-r(5):b4,0,1,#FF00FF
sid-3,Cheater-r(6):b5,0,1,#FF0000
sid-90,Cheater-r(6):b5,0,1,#0000CD
sid-91,Cheater-r(6):b5,0,1,#FF00FF
sid-94,Cheater-r(6):b5,0,1,#7FFF00
sid-26,Cheater-r(3):b7,0,1,#BFBFBF
sid-24,Cheater-r(2):b10,0,1,#BFBFBF
sid-26,Cheater-r(2):b10,0,1,#BFBFBF
sid-26,Cheater-r(1):b11,0,1,#BFBFBF
sid-90,Cheater-r(4):b13,0,1,#0000CD
sid-91,Cheater-r(4):b13,0,1,#FF00FF
sid-90,Cheater-r(1):b14,0,1,#0000CD
sid-90,Cheater-r(2):b15,0,1,#0000CD
sid-92,Cheater-r(2):b15,0,1,#FF8C00
sid-90,Cheater-r(2):b16,0,1,#0000CD
sid-94,Cheater-r(2):b16,0,1,#7FFF00
Partial-s1-r(8):b17,sid-1,1,1,#000000
sid-1,Partial-s1-r(8):b17,0,1,#BFBFBF
sid-26,Partial-s1-r(8):b17,0,1,#BFBFBF
sid-36,Partial-s1-r(8):b17,0,1,#DDA0DD
sid-45,Partial-s1-r(8):b17,0,1,#BFBFBF
sid-90,Partial-s1-r(8):b17,0,1,#0000CD
sid-91,Partial-s1-r(8):b17,0,1,#FF00FF
Partial-s3-r(9):b18,sid-3,1,1,#000000
sid-1,Partial-s3-r(9):b18,0,1,#BFBFBF
sid-3,Partial-s3-r(9):b18,0,1,#FF0000
sid-90,Partial-s3-r(9):b18,0,1,#0000CD
sid-91,Partial-s3-r(9):b18,0,1,#FF00FF
sid-94,Partial-s3-r(9):b18,0,1,#7FFF00
Partial-s3-r(7):b19,sid-3,1,1,#000000
sid-1,Partial-s3-r(7):b19,0,1,#BFBFBF
sid-3,Partial-s3-r(7):b19,0,1,#FF0000
sid-90,Partial-s3-r(7):b19,0,1,#0000CD
sid-91,Partial-s3-r(7):b19,0,1,#FF00FF
sid-94,Partial-s3-r(7):b19,0,1,#7FFF00
Pure-s3:b20,sid-3,1,14,#000000
sid-3,Pure-s3:b20,0,1,#FF0000
Partial-s3-r(3):b21,sid-3,1,1,#000000
sid-3,Partial-s3-r(3):b21,0,1,#FF0000
sid-94,Partial-s3-r(3):b21,0,1,#7FFF00
Partial-s3-r(2):b22,sid-3,1,1,#000000
sid-3,Partial-s3-r(2):b22,0,1,#FF0000
sid-90,Partial-s3-r(2):b22,0,1,#0000CD
Partial-s3-r(2):b23,sid-3,1,1,#000000
sid-3,Partial-s3-r(2):b23,0,1,#FF0000
sid-94,Partial-s3-r(2):b23,0,1,#7FFF00
Partial-s24-r(7):b24,sid-24,1,1,#000000
sid-1,Partial-s24-r(7):b24,0,1,#BFBFBF
sid-24,Partial-s24-r(7):b24,0,1,#BFBFBF
sid-35,Partial-s24-r(7):b24,0,1,#00FFFF
sid-45,Partial-s24-r(7):b24,0,1,#BFBFBF
sid-80,Partial-s24-r(7):b24,0,1,#BFBFBF
sid-93,Partial-s24-r(7):b24,0,1,#BFBFBF
Partial-s26-r(8):b25,sid-26,1,1,#000000
sid-1,Partial-s26-r(8):b25,0,1,#BFBFBF
sid-26,Partial-s26-r(8):b25,0,1,#BFBFBF
sid-36,Partial-s26-r(8):b25,0,1,#DDA0DD
sid-45,Partial-s26-r(8):b25,0,1,#BFBFBF
sid-90,Partial-s26-r(8):b25,0,1,#0000CD
sid-91,Partial-s26-r(8):b25,0,1,#FF00FF
Pure-s35:b26,sid-35,1,6,#000000
