nodename,issid,nodesize,straintype,color
sid-1,1,51,nan,#BFBFBF
sid-3,1,69,nan,#FF0000
sid-24,1,51,nan,#BFBFBF
sid-26,1,51,nan,#BFBFBF
sid-35,1,57,nan,#00FFFF
sid-36,1,52,nan,#DDA0DD
sid-37,1,51,nan,#00BFFF
sid-39,1,52,nan,#7F007F
sid-45,1,52,nan,#BFBFBF
sid-66,1,51,nan,#BFBFBF
sid-68,1,52,nan,#BFBFBF
sid-70,1,52,nan,#00FA9A
sid-72,1,52,nan,#BFBFBF
sid-76,1,51,nan,#BFBFBF
sid-80,1,51,nan,#BFBFBF
sid-81,1,52,nan,#BFBFBF
sid-82,1,51,nan,#BFBFBF
sid-84,1,51,nan,#BFBFBF
sid-85,1,51,nan,#BFBFBF
sid-87,1,51,nan,#BFBFBF
sid-90,1,59,nan,#0000CD
sid-91,1,84,nan,#FF00FF
sid-92,1,55,nan,#FF8C00
sid-93,1,51,nan,#BFBFBF
sid-94,1,57,nan,#7FFF00
Cheater-r(5):b1,0,1,3,nan
Cheater-r(7):b2,0,1,3,nan
Cheater-r(8):b3,0,1,3,nan
Cheater-r(5):b4,0,1,3,nan
Cheater-r(6):b5,0,2,3,nan
Cheater-r(3):b7,0,1,3,nan
Cheater-r(2):b10,0,1,3,nan
Cheater-r(1):b11,0,1,3,nan
Cheater-r(4):b13,0,1,3,nan
Cheater-r(1):b14,0,1,3,nan
Cheater-r(2):b15,0,1,3,nan
Cheater-r(2):b16,0,1,3,nan
Partial-s1-r(8):b17,0,1,2,nan
Partial-s3-r(9):b18,0,1,2,nan
Partial-s3-r(7):b19,0,1,2,nan
Pure-s3:b20,0,14,1,nan
Partial-s3-r(3):b21,0,1,2,nan
Partial-s3-r(2):b22,0,1,2,nan
Partial-s3-r(2):b23,0,1,2,nan
Partial-s24-r(7):b24,0,1,2,nan
Partial-s26-r(8):b25,0,1,2,nan
Pure-s35:b26,0,6,1,nan
Partial-s35-r(4):b27,0,1,2,nan
Partial-s36-r(3):b28,0,1,2,nan
Pure-s36:b29,0,1,1,nan
Pure-s37:b30,0,1,1,nan
Pure-s39:b31,0,2,1,nan
Partial-s45-r(16):b32,0,1,2,nan
Partial-s45-r(4):b33,0,1,2,nan
Partial-s66-r(3):b34,0,1,2,nan
Partial-s68-r(7):b35,0,1,2,nan
Partial-s68-r(6):b36,0,1,2,nan
Partial-s70-r(5):b37,0,1,2,nan
Pure-s70:b38,0,1,1,nan
Partial-s72-r(6):b39,0,1,2,nan
Partial-s72-r(2):b40,0,1,2,nan
Partial-s76-r(9):b41,0,1,2,nan
Partial-s80-r(7):b42,0,1,2,nan
Partial-s81-r(8):b43,0,1,2,nan
Partial-s81-r(6):b44,0,1,2,nan
Partial-s82-r(12):b45,0,1,2,nan
Partial-s84-r(6):b46,0,1,2,nan
Partial-s85-r(6):b47,0,1,2,nan
Partial-s87-r(4):b48,0,1,2,nan
Partial-s90-r(2):b49,0,1,2,nan
Pure-s90:b50,0,6,1,nan
Partial-s90-r(4):b51,0,1,2,nan
Partial-s90-r(2):b52,0,1,2,nan
Partial-s91-r(18):b53,0,1,2,nan
Partial-s91-r(8):b54,0,1,2,nan
Partial-s91-r(5):b55,0,1,2,nan
Partial-s91-r(6):b56,0,1,2,nan
Partial-s91-r(5):b57,0,1,2,nan
Partial-s91-r(4):b58,0,1,2,nan
Partial-s91-r(4):b59,0,1,2,nan
Partial-s91-r(2):b60,0,1,2,nan
Partial-s91-r(3):b61,0,1,2,nan
Partial-s91-r(5):b62,0,1,2,nan
Partial-s91-r(2):b63,0,1,2,nan
Partial-s91-r(6):b64,0,1,2,nan
Partial-s91-r(2):b65,0,3,2,nan
Pure-s91:b66,0,19,1,nan
Partial-s92-r(2):b67,0,2,2,nan
Partial-s92-r(3):b68,0,2,2,nan
Pure-s92:b69,0,1,1,nan
Partial-s93-r(9):b70,0,1,2,nan
Partial-s94-r(4):b71,0,1,2,nan
Partial-s94-r(2):b72,0,3,2,nan
Partial-s94-r(2):b73,0,1,2,nan
Pure-s94:b74,0,2,1,nan
