source,target,isproduce,edgesize,edgecolor,species
sid-3(aeruginosa),Cheater-r(1):b26(aeruginosa),0,1,#FF0000,aeruginosa
sid-39(aeruginosa),Cheater-r(1):b89(aeruginosa),0,1,#7F007F,aeruginosa
sid-91(aeruginosa),Cheater-r(1):b113(aeruginosa),0,1,#FF00FF,aeruginosa
Pure-s3:b131(aeruginosa),sid-3(aeruginosa),1,299,#000000,aeruginosa
sid-3(aeruginosa),Pure-s3:b131(aeruginosa),0,1,#FF0000,aeruginosa
Partial-s3-r(2):b132(aeruginosa),sid-3(aeruginosa),1,2,#000000,aeruginosa
sid-3(aeruginosa),Partial-s3-r(2):b132(aeruginosa),0,1,#FF0000,aeruginosa
sid-3(aeruginosa),Partial-s3-r(2):b132(aeruginosa),0,1,#FF0000,aeruginosa
Partial-s3-r(2):b135(aeruginosa),sid-3(aeruginosa),1,4,#000000,aeruginosa
sid-3(aeruginosa),Partial-s3-r(2):b135(aeruginosa),0,1,#FF0000,aeruginosa
sid-72(aeruginosa),Partial-s3-r(2):b135(aeruginosa),0,1,#4169E1,aeruginosa
Partial-s3-r(2):b137(aeruginosa),sid-3(aeruginosa),1,1,#000000,aeruginosa
sid-3(aeruginosa),Partial-s3-r(2):b137(aeruginosa),0,1,#FF0000,aeruginosa
sid-91(aeruginosa),Partial-s3-r(2):b137(aeruginosa),0,1,#FF00FF,aeruginosa
Partial-s3-r(2):b138(aeruginosa),sid-3(aeruginosa),1,3,#000000,aeruginosa
sid-3(aeruginosa),Partial-s3-r(2):b138(aeruginosa),0,1,#FF0000,aeruginosa
sid-94(aeruginosa),Partial-s3-r(2):b138(aeruginosa),0,1,#7FFF00,aeruginosa
Partial-s39-r(3):b192(aeruginosa),sid-39(aeruginosa),1,1,#000000,aeruginosa
sid-39(aeruginosa),Partial-s39-r(3):b192(aeruginosa),0,1,#7F007F,aeruginosa
sid-55(aeruginosa),Partial-s39-r(3):b192(aeruginosa),0,1,#BFBFBF,aeruginosa
Pure-s39:b193(aeruginosa),sid-39(aeruginosa),1,80,#000000,aeruginosa
sid-39(aeruginosa),Pure-s39:b193(aeruginosa),0,1,#7F007F,aeruginosa
Partial-s39-r(3):b194(aeruginosa),sid-39(aeruginosa),1,1,#000000,aeruginosa
sid-39(aeruginosa),Partial-s39-r(3):b194(aeruginosa),0,1,#7F007F,aeruginosa
sid-39(aeruginosa),Partial-s39-r(3):b194(aeruginosa),0,1,#7F007F,aeruginosa
sid-39(aeruginosa),Partial-s39-r(3):b194(aeruginosa),0,1,#7F007F,aeruginosa
Partial-s39-r(2):b195(aeruginosa),sid-39(aeruginosa),1,2,#000000,aeruginosa
sid-39(aeruginosa),Partial-s39-r(2):b195(aeruginosa),0,1,#7F007F,aeruginosa
sid-80(aeruginosa),Partial-s39-r(2):b195(aeruginosa),0,1,#808000,aeruginosa
Partial-s39-r(2):b196(aeruginosa),sid-39(aeruginosa),1,2,#000000,aeruginosa
sid-39(aeruginosa),Partial-s39-r(2):b196(aeruginosa),0,1,#7F007F,aeruginosa
sid-91(aeruginosa),Partial-s39-r(2):b196(aeruginosa),0,1,#FF00FF,aeruginosa
Pure-s91:b396(aeruginosa),sid-91(aeruginosa),1,127,#000000,aeruginosa
sid-91(aeruginosa),Pure-s91:b396(aeruginosa),0,1,#FF00FF,aeruginosa
sid-1(fluorescens),Cheater-r(3):b12(fluorescens),0,1,#191970,fluorescens
sid-6(fluorescens),Cheater-r(3):b12(fluorescens),0,1,#BFBFBF,fluorescens
sid-94(fluorescens),Cheater-r(3):b12(fluorescens),0,1,#7FFF00,fluorescens
sid-1(fluorescens),Cheater-r(2):b23(fluorescens),0,1,#191970,fluorescens
sid-94(fluorescens),Cheater-r(2):b23(fluorescens),0,1,#7FFF00,fluorescens
sid-6(fluorescens),Cheater-r(1):b45(fluorescens),0,1,#BFBFBF,fluorescens
sid-77(fluorescens),Cheater-r(5):b103(fluorescens),0,1,#BFBFBF,fluorescens
sid-90(fluorescens),Cheater-r(5):b103(fluorescens),0,1,#0000CD,fluorescens
sid-91(fluorescens),Cheater-r(5):b103(fluorescens),0,1,#FF00FF,fluorescens
sid-91(fluorescens),Cheater-r(5):b103(fluorescens),0,1,#FF00FF,fluorescens
sid-91(fluorescens),Cheater-r(5):b103(fluorescens),0,1,#FF00FF,fluorescens
sid-90(fluorescens),Cheater-r(1):b109(fluorescens),0,1,#0000CD,fluorescens
Partial-s3-r(2):b124(fluorescens),sid-3(fluorescens),1,2,#000000,fluorescens
sid-1(fluorescens),Partial-s3-r(2):b124(fluorescens),0,1,#191970,fluorescens
sid-3(fluorescens),Partial-s3-r(2):b124(fluorescens),0,1,#FF0000,fluorescens
Partial-s3-r(5):b128(fluorescens),sid-3(fluorescens),1,1,#000000,fluorescens
sid-1(fluorescens),Partial-s3-r(5):b128(fluorescens),0,1,#191970,fluorescens
sid-3(fluorescens),Partial-s3-r(5):b128(fluorescens),0,1,#FF0000,fluorescens
sid-36(fluorescens),Partial-s3-r(5):b128(fluorescens),0,1,#DDA0DD,fluorescens
sid-90(fluorescens),Partial-s3-r(5):b128(fluorescens),0,1,#0000CD,fluorescens
sid-94(fluorescens),Partial-s3-r(5):b128(fluorescens),0,1,#7FFF00,fluorescens
Partial-s3-r(4):b130(fluorescens),sid-3(fluorescens),1,1,#000000,fluorescens
sid-1(fluorescens),Partial-s3-r(4):b130(fluorescens),0,1,#191970,fluorescens
sid-3(fluorescens),Partial-s3-r(4):b130(fluorescens),0,1,#FF0000,fluorescens
sid-90(fluorescens),Partial-s3-r(4):b130(fluorescens),0,1,#0000CD,fluorescens
sid-94(fluorescens),Partial-s3-r(4):b130(fluorescens),0,1,#7FFF00,fluorescens
Pure-s3:b131(fluorescens),sid-3(fluorescens),1,3,#000000,fluorescens
sid-3(fluorescens),Pure-s3:b131(fluorescens),0,1,#FF0000,fluorescens
Partial-s3-r(3):b133(fluorescens),sid-3(fluorescens),1,1,#000000,fluorescens
sid-3(fluorescens),Partial-s3-r(3):b133(fluorescens),0,1,#FF0000,fluorescens
sid-4(fluorescens),Partial-s3-r(3):b133(fluorescens),0,1,#BFBFBF,fluorescens
sid-94(fluorescens),Partial-s3-r(3):b133(fluorescens),0,1,#7FFF00,fluorescens
Partial-s3-r(2):b138(fluorescens),sid-3(fluorescens),1,1,#000000,fluorescens
sid-3(fluorescens),Partial-s3-r(2):b138(fluorescens),0,1,#FF0000,fluorescens
sid-94(fluorescens),Partial-s3-r(2):b138(fluorescens),0,1,#7FFF00,fluorescens
Pure-s35:b163(fluorescens),sid-35(fluorescens),1,1,#000000,fluorescens
sid-35(fluorescens),Pure-s35:b163(fluorescens),0,1,#00FFFF,fluorescens
Partial-s36-r(2):b173(fluorescens),sid-36(fluorescens),1,2,#000000,fluorescens
sid-1(fluorescens),Partial-s36-r(2):b173(fluorescens),0,1,#191970,fluorescens
sid-36(fluorescens),Partial-s36-r(2):b173(fluorescens),0,1,#DDA0DD,fluorescens
Partial-s36-r(3):b174(fluorescens),sid-36(fluorescens),1,3,#000000,fluorescens
sid-1(fluorescens),Partial-s36-r(3):b174(fluorescens),0,1,#191970,fluorescens
sid-36(fluorescens),Partial-s36-r(3):b174(fluorescens),0,1,#DDA0DD,fluorescens
sid-90(fluorescens),Partial-s36-r(3):b174(fluorescens),0,1,#0000CD,fluorescens
Partial-s36-r(3):b177(fluorescens),sid-36(fluorescens),1,1,#000000,fluorescens
sid-4(fluorescens),Partial-s36-r(3):b177(fluorescens),0,1,#BFBFBF,fluorescens
sid-36(fluorescens),Partial-s36-r(3):b177(fluorescens),0,1,#DDA0DD,fluorescens
sid-94(fluorescens),Partial-s36-r(3):b177(fluorescens),0,1,#7FFF00,fluorescens
Pure-s36:b179(fluorescens),sid-36(fluorescens),1,5,#000000,fluorescens
sid-36(fluorescens),Pure-s36:b179(fluorescens),0,1,#DDA0DD,fluorescens
Partial-s36-r(2):b180(fluorescens),sid-36(fluorescens),1,5,#000000,fluorescens
sid-36(fluorescens),Partial-s36-r(2):b180(fluorescens),0,1,#DDA0DD,fluorescens
sid-90(fluorescens),Partial-s36-r(2):b180(fluorescens),0,1,#0000CD,fluorescens
Partial-s36-r(2):b182(fluorescens),sid-36(fluorescens),1,2,#000000,fluorescens
sid-36(fluorescens),Partial-s36-r(2):b182(fluorescens),0,1,#DDA0DD,fluorescens
sid-94(fluorescens),Partial-s36-r(2):b182(fluorescens),0,1,#7FFF00,fluorescens
Pure-s37:b183(fluorescens),sid-37(fluorescens),1,3,#000000,fluorescens
sid-37(fluorescens),Pure-s37:b183(fluorescens),0,1,#00BFFF,fluorescens
Partial-s45-r(11):b197(fluorescens),sid-45(fluorescens),1,1,#000000,fluorescens
sid-2(fluorescens),Partial-s45-r(11):b197(fluorescens),0,1,#FFFF54,fluorescens
sid-3(fluorescens),Partial-s45-r(11):b197(fluorescens),0,1,#FF0000,fluorescens
sid-3(fluorescens),Partial-s45-r(11):b197(fluorescens),0,1,#FF0000,fluorescens
sid-36(fluorescens),Partial-s45-r(11):b197(fluorescens),0,1,#DDA0DD,fluorescens
sid-45(fluorescens),Partial-s45-r(11):b197(fluorescens),0,1,#BFBFBF,fluorescens
sid-45(fluorescens),Partial-s45-r(11):b197(fluorescens),0,1,#BFBFBF,fluorescens
