nodename,issid,nodesize,straintype,color,species,behav
sid-3(aeruginosa),1,309,nan,#FF0000,aeruginosa,3
sid-39(aeruginosa),1,86,nan,#7F007F,aeruginosa,39
sid-55(aeruginosa),1,0,nan,#BFBFBF,aeruginosa,55
sid-72(aeruginosa),1,0,nan,#4169E1,aeruginosa,72
sid-80(aeruginosa),1,0,nan,#808000,aeruginosa,80
sid-91(aeruginosa),1,127,nan,#FF00FF,aeruginosa,91
sid-94(aeruginosa),1,0,nan,#7FFF00,aeruginosa,94
Cheater-r(1):b26(aeruginosa),0,9,3,#550000,aeruginosa,0|3
Cheater-r(1):b89(aeruginosa),0,4,3,#400000,aeruginosa,0|39
Cheater-r(1):b113(aeruginosa),0,19,3,#430000,aeruginosa,0|91
Pure-s3:b131(aeruginosa),0,299,1,#BB0912,aeruginosa,3|3
Partial-s3-r(2):b132(aeruginosa),0,2,2,#800000,aeruginosa,3|3
Partial-s3-r(2):b135(aeruginosa),0,4,2,#FF8080,aeruginosa,3|3;72
Partial-s3-r(2):b137(aeruginosa),0,1,2,#000000,aeruginosa,3|3;91
Partial-s3-r(2):b138(aeruginosa),0,3,2,#AA0055,aeruginosa,3|3;94
Partial-s39-r(3):b192(aeruginosa),0,1,2,#FF0000,aeruginosa,39|39;55
Pure-s39:b193(aeruginosa),0,80,1,#B60806,aeruginosa,39|39
Partial-s39-r(3):b194(aeruginosa),0,1,2,#FF0000,aeruginosa,39|39
Partial-s39-r(2):b195(aeruginosa),0,2,2,#FF0000,aeruginosa,39|39;80
Partial-s39-r(2):b196(aeruginosa),0,2,2,#000000,aeruginosa,39|39;91
Pure-s91:b396(aeruginosa),0,127,1,#AF1026,aeruginosa,91|91
sid-1(fluorescens),1,0,nan,#191970,fluorescens,1
sid-2(fluorescens),1,0,nan,#FFFF54,fluorescens,2
sid-3(fluorescens),1,9,nan,#FF0000,fluorescens,3
sid-4(fluorescens),1,0,nan,#BFBFBF,fluorescens,4
sid-6(fluorescens),1,0,nan,#BFBFBF,fluorescens,6
sid-26(fluorescens),1,0,nan,#BFBFBF,fluorescens,26
sid-35(fluorescens),1,1,nan,#00FFFF,fluorescens,35
sid-36(fluorescens),1,18,nan,#DDA0DD,fluorescens,36
sid-37(fluorescens),1,3,nan,#00BFFF,fluorescens,37
sid-45(fluorescens),1,4,nan,#BFBFBF,fluorescens,45
sid-58(fluorescens),1,0,nan,#BFBFBF,fluorescens,58
sid-68(fluorescens),1,0,nan,#F08080,fluorescens,68
sid-69(fluorescens),1,1,nan,#BFBFBF,fluorescens,69
sid-70(fluorescens),1,0,nan,#00FA9A,fluorescens,70
sid-72(fluorescens),1,6,nan,#4169E1,fluorescens,72
sid-77(fluorescens),1,1,nan,#BFBFBF,fluorescens,77
sid-81(fluorescens),1,4,nan,#BFBFBF,fluorescens,81
sid-84(fluorescens),1,0,nan,#BFBFBF,fluorescens,84
sid-86(fluorescens),1,0,nan,#BFBFBF,fluorescens,86
sid-90(fluorescens),1,21,nan,#0000CD,fluorescens,90
